Cell,Formula
C21,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A21,'HR Rep'!$A:$X,MATCH('1) For HR'!C$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A21,'HR Rep'!$A:$X,MATCH('1) For HR'!C$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
D21,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A21,'HR Rep'!$A:$X,MATCH('1) For HR'!D$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A21,'HR Rep'!$A:$X,MATCH('1) For HR'!D$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
E21,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A21,'HR Rep'!$A:$X,MATCH('1) For HR'!E$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A21,'HR Rep'!$A:$X,MATCH('1) For HR'!E$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
F21,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A21,'HR Rep'!$A:$X,MATCH('1) For HR'!F$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A21,'HR Rep'!$A:$X,MATCH('1) For HR'!F$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
H21,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A21,'HR Rep'!$A:$X,MATCH('1) For HR'!H$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A21,'HR Rep'!$A:$X,MATCH('1) For HR'!H$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
I21,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A21,'HR Rep'!$A:$X,MATCH('1) For HR'!I$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A21,'HR Rep'!$A:$X,MATCH('1) For HR'!I$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
J21,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A21,'HR Rep'!$A:$X,MATCH('1) For HR'!J$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A21,'HR Rep'!$A:$X,MATCH('1) For HR'!J$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
K21,"=IF(ROUND(P21+R21+U21+X21,2)<O21,O21,ROUND(P21+R21+U21+X21,2))"
L21,=Period!$A$2
M21,=Period!$B$2
P21,"=IF(SUMIF('3)Target & Cal'!$A$3:$A$308,B21,INDEX('3)Target & Cal'!$AZ$3:$BK$308,0,MATCH(MID(L21,1,3)&""_I"",'3)Target & Cal'!$AZ$3:$BK$3,0)))>0,SUMIF('3)Target & Cal'!$A$3:$A$308,B21,INDEX('3)Target & Cal'!$AZ$3:$BK$308,0,MATCH(MID(L21,1,3)&""_I"",'3)Target & Cal'!$AZ$3:$BK$3,0))),0)"
Q21,"=IFERROR(AVERAGEIFS('3)Target & Cal'!BN:BN,'3)Target & Cal'!BM:BM,B21),"""")"
R21,"=IF(F21=""Section Manager"",IF(Q21>0,Q21*T_SectAbove!$B$4,0),0)"
S21,"=IF(F21=""Section Manager"",VLOOKUP(A21,ASTBase!F:S,13,FALSE),"""")"
T21,=
U21,"=IF(F21=""Department Manager"",IFERROR(AVERAGEIFS(Q:Q,S:S,A21)*VLOOKUP('1) For HR'!F21,T_SectAbove!A:B,2,FALSE),""""),0)"
V21,"=IF(F21=""Department Manager"",VLOOKUP(A21,ASTBase!F:S,14,FALSE),"""")"
W21,=
X21,"=IF(F21=""Division Manager"",IFERROR(AVERAGEIFS(T:T,V:V,A21)*VLOOKUP('1) For HR'!F21,T_SectAbove!A:B,2,FALSE),""""),0)"
B22,"=IF(IF(VLOOKUP(A22,ASTBase!F:P,11,FALSE)="""","""",VLOOKUP(A22,ASTBase!F:P,11,FALSE))=0,"""",IF(VLOOKUP(A22,ASTBase!F:P,11,FALSE)="""","""",VLOOKUP(A22,ASTBase!F:P,11,FALSE)))"
C22,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A22,'HR Rep'!$A:$X,MATCH('1) For HR'!C$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A22,'HR Rep'!$A:$X,MATCH('1) For HR'!C$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
D22,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A22,'HR Rep'!$A:$X,MATCH('1) For HR'!D$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A22,'HR Rep'!$A:$X,MATCH('1) For HR'!D$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
E22,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A22,'HR Rep'!$A:$X,MATCH('1) For HR'!E$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A22,'HR Rep'!$A:$X,MATCH('1) For HR'!E$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
F22,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A22,'HR Rep'!$A:$X,MATCH('1) For HR'!F$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A22,'HR Rep'!$A:$X,MATCH('1) For HR'!F$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
H22,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A22,'HR Rep'!$A:$X,MATCH('1) For HR'!H$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A22,'HR Rep'!$A:$X,MATCH('1) For HR'!H$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
I22,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A22,'HR Rep'!$A:$X,MATCH('1) For HR'!I$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A22,'HR Rep'!$A:$X,MATCH('1) For HR'!I$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
J22,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A22,'HR Rep'!$A:$X,MATCH('1) For HR'!J$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A22,'HR Rep'!$A:$X,MATCH('1) For HR'!J$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
K22,=
L22,=Period!$A$2
M22,=Period!$B$2
P22,"=IF(SUMIF('3)Target & Cal'!$A$3:$A$308,B22,INDEX('3)Target & Cal'!$AZ$3:$BK$308,0,MATCH(MID(L22,1,3)&""_I"",'3)Target & Cal'!$AZ$3:$BK$3,0)))>0,SUMIF('3)Target & Cal'!$A$3:$A$308,B22,INDEX('3)Target & Cal'!$AZ$3:$BK$308,0,MATCH(MID(L22,1,3)&""_I"",'3)Target & Cal'!$AZ$3:$BK$3,0))),0)"
Q22,"=IFERROR(AVERAGEIFS('3)Target & Cal'!BN:BN,'3)Target & Cal'!BM:BM,B22),"""")"
R22,"=IF(F22=""Section Manager"",IF(Q22>0,Q22*T_SectAbove!$B$4,0),0)"
S22,"=IF(F22=""Section Manager"",VLOOKUP(A22,ASTBase!F:S,13,FALSE),"""")"
T22,=
U22,"=IF(F22=""Department Manager"",IFERROR(AVERAGEIFS(Q:Q,S:S,A22)*VLOOKUP('1) For HR'!F22,T_SectAbove!A:B,2,FALSE),""""),0)"
V22,"=IF(F22=""Department Manager"",VLOOKUP(A22,ASTBase!F:S,14,FALSE),"""")"
W22,=
X22,"=IF(F22=""Division Manager"",IFERROR(AVERAGEIFS(T:T,V:V,A22)*VLOOKUP('1) For HR'!F22,T_SectAbove!A:B,2,FALSE),""""),0)"
B23,"=IF(IF(VLOOKUP(A23,ASTBase!F:P,11,FALSE)="""","""",VLOOKUP(A23,ASTBase!F:P,11,FALSE))=0,"""",IF(VLOOKUP(A23,ASTBase!F:P,11,FALSE)="""","""",VLOOKUP(A23,ASTBase!F:P,11,FALSE)))"
C23,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A23,'HR Rep'!$A:$X,MATCH('1) For HR'!C$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A23,'HR Rep'!$A:$X,MATCH('1) For HR'!C$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
D23,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A23,'HR Rep'!$A:$X,MATCH('1) For HR'!D$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A23,'HR Rep'!$A:$X,MATCH('1) For HR'!D$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
E23,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A23,'HR Rep'!$A:$X,MATCH('1) For HR'!E$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A23,'HR Rep'!$A:$X,MATCH('1) For HR'!E$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
F23,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A23,'HR Rep'!$A:$X,MATCH('1) For HR'!F$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A23,'HR Rep'!$A:$X,MATCH('1) For HR'!F$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
H23,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A23,'HR Rep'!$A:$X,MATCH('1) For HR'!H$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A23,'HR Rep'!$A:$X,MATCH('1) For HR'!H$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
I23,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A23,'HR Rep'!$A:$X,MATCH('1) For HR'!I$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A23,'HR Rep'!$A:$X,MATCH('1) For HR'!I$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
J23,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A23,'HR Rep'!$A:$X,MATCH('1) For HR'!J$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A23,'HR Rep'!$A:$X,MATCH('1) For HR'!J$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
K23,=
L23,=Period!$A$2
M23,=Period!$B$2
P23,"=IF(SUMIF('3)Target & Cal'!$A$3:$A$308,B23,INDEX('3)Target & Cal'!$AZ$3:$BK$308,0,MATCH(MID(L23,1,3)&""_I"",'3)Target & Cal'!$AZ$3:$BK$3,0)))>0,SUMIF('3)Target & Cal'!$A$3:$A$308,B23,INDEX('3)Target & Cal'!$AZ$3:$BK$308,0,MATCH(MID(L23,1,3)&""_I"",'3)Target & Cal'!$AZ$3:$BK$3,0))),0)"
Q23,"=IFERROR(AVERAGEIFS('3)Target & Cal'!BN:BN,'3)Target & Cal'!BM:BM,B23),"""")"
R23,"=IF(F23=""Section Manager"",IF(Q23>0,Q23*T_SectAbove!$B$4,0),0)"
S23,"=IF(F23=""Section Manager"",VLOOKUP(A23,ASTBase!F:S,13,FALSE),"""")"
T23,=
U23,"=IF(F23=""Department Manager"",IFERROR(AVERAGEIFS(Q:Q,S:S,A23)*VLOOKUP('1) For HR'!F23,T_SectAbove!A:B,2,FALSE),""""),0)"
V23,"=IF(F23=""Department Manager"",VLOOKUP(A23,ASTBase!F:S,14,FALSE),"""")"
W23,=
X23,"=IF(F23=""Division Manager"",IFERROR(AVERAGEIFS(T:T,V:V,A23)*VLOOKUP('1) For HR'!F23,T_SectAbove!A:B,2,FALSE),""""),0)"
